model,step,tolerance,nodes_found,nodes_right,records_exact
d2g,180000,0,0.00,0.00,0.00
d2g,180000,2,91.40,91.74,34.40
d2g,180000,4,92.52,92.86,41.55
d2g,180000,8,94.26,94.61,53.61
d2g,190000,0,0.00,0.00,0.00
d2g,190000,2,91.41,91.80,34.91
d2g,190000,4,92.62,93.01,42.82
d2g,190000,8,94.38,94.78,55.35
d2g,200000,0,0.00,0.00,0.00
d2g,200000,2,91.87,92.23,36.74
d2g,200000,4,93.09,93.46,45.46
d2g,200000,8,94.87,95.25,58.13
detr,10000,0,0.00,0.00,0.00
detr,10000,2,2.11,17.59,0.00
detr,10000,4,5.74,47.74,0.00
detr,10000,8,8.74,72.72,0.00
detr,20000,0,0.00,0.00,0.00
detr,20000,2,17.83,46.50,0.00
detr,20000,4,32.33,84.29,0.00
detr,20000,8,35.51,92.60,0.00
detr,30000,0,0.00,0.00,0.00
detr,30000,2,89.00,89.20,28.81
detr,30000,4,95.77,95.99,51.68
detr,30000,8,96.91,97.13,56.25
detr,40000,0,0.00,0.00,0.00
detr,40000,2,85.03,84.75,17.41
detr,40000,4,95.12,94.82,45.83
detr,40000,8,96.43,96.12,50.15
detr,50000,0,0.00,0.00,0.00
detr,50000,2,73.25,75.03,6.13
detr,50000,4,89.07,91.23,28.71
detr,50000,8,92.39,94.63,36.40
detr,60000,0,0.00,0.00,0.00
detr,60000,2,85.06,87.80,20.17
detr,60000,4,92.44,95.42,40.94
detr,60000,8,93.74,96.76,44.90
detr,70000,0,0.00,0.00,0.00
detr,70000,2,88.43,88.27,24.46
detr,70000,4,94.29,94.12,40.92
detr,70000,8,95.66,95.49,45.85
detr,80000,0,0.00,0.00,0.00
detr,80000,2,91.54,90.77,32.50
detr,80000,4,95.66,94.86,46.09
detr,80000,8,96.69,95.88,50.46
detr,90000,0,0.00,0.00,0.00
detr,90000,2,87.45,88.04,21.44
detr,90000,4,92.41,93.03,32.30
detr,90000,8,94.09,94.72,37.48
detr,100000,0,0.00,0.00,0.00
detr,100000,2,90.63,91.28,29.88
detr,100000,4,94.51,95.18,42.21
detr,100000,8,95.47,96.15,45.58
detr,110000,0,0.00,0.00,0.00
detr,110000,2,92.12,92.35,37.06
detr,110000,4,95.32,95.55,49.66
detr,110000,8,96.35,96.58,54.15
detr,120000,0,0.00,0.00,0.00
detr,120000,2,93.69,94.01,44.97
detr,120000,4,96.16,96.49,55.20
detr,120000,8,96.90,97.23,58.54
detr,130000,0,0.00,0.00,0.00
detr,130000,2,94.44,95.14,48.12
detr,130000,4,96.21,96.92,56.62
detr,130000,8,96.81,97.52,59.42
detr,140000,0,0.00,0.00,0.00
detr,140000,2,95.14,96.27,55.08
detr,140000,4,96.57,97.72,62.33
detr,140000,8,97.09,98.25,65.09
detr,150000,0,0.00,0.00,0.00
detr,150000,2,95.28,95.65,54.44
detr,150000,4,96.86,97.23,62.30
detr,150000,8,97.48,97.85,65.53
detr,160000,0,0.00,0.00,0.00
detr,160000,2,96.02,96.13,59.18
detr,160000,4,97.40,97.52,66.33
detr,160000,8,97.92,98.03,69.46
detr,170000,0,0.00,0.00,0.00
detr,170000,2,95.94,96.62,58.33
detr,170000,4,97.13,97.82,64.62
detr,170000,8,97.56,98.25,67.19
detr,180000,0,0.00,0.00,0.00
detr,180000,2,96.39,96.91,62.23
detr,180000,4,97.51,98.03,68.65
detr,180000,8,97.93,98.45,71.12
detr,190000,0,0.00,0.00,0.00
detr,190000,2,96.16,96.14,59.52
detr,190000,4,97.52,97.50,66.50
detr,190000,8,98.02,98.00,69.21
detr,200000,0,0.00,0.00,0.00
detr,200000,2,96.56,96.39,61.30
detr,200000,4,97.81,97.64,67.70
detr,200000,8,98.23,98.06,70.19
