model,schedule,step,tolerance,nodes_found,nodes_right,records_exact
detr,decay,140000,4,96.57,97.72,62.33
detr,decay,140000,8,97.09,98.25,65.09
detr,decay,150000,0,0.00,0.00,0.00
detr,decay,150000,2,95.28,95.65,54.44
detr,decay,150000,4,96.86,97.23,62.30
detr,decay,150000,8,97.48,97.85,65.53
detr,decay,160000,0,0.00,0.00,0.00
detr,decay,160000,2,96.02,96.13,59.18
detr,decay,160000,4,97.40,97.52,66.33
detr,decay,160000,8,97.92,98.03,69.46
detr,decay,170000,0,0.00,0.00,0.00
detr,decay,170000,2,95.94,96.62,58.33
detr,decay,170000,4,97.13,97.82,64.62
detr,decay,170000,8,97.56,98.25,67.19
detr,decay,180000,0,0.00,0.00,0.00
detr,decay,180000,2,96.39,96.91,62.23
detr,decay,180000,4,97.51,98.03,68.65
detr,decay,180000,8,97.93,98.45,71.12
detr,decay,190000,0,0.00,0.00,0.00
detr,decay,190000,2,96.16,96.14,59.52
detr,decay,190000,4,97.52,97.50,66.50
detr,decay,190000,8,98.02,98.00,69.21
detr,decay,200000,0,0.00,0.00,0.00
detr,decay,200000,2,96.56,96.39,61.30
detr,decay,200000,4,97.81,97.64,67.70
detr,decay,200000,8,98.23,98.06,70.19
detr,constant,10000,0,0.00,0.00,0.00
detr,constant,10000,2,2.67,11.64,0.00
detr,constant,10000,4,9.56,41.62,0.00
detr,constant,10000,8,16.84,73.33,0.00
detr,constant,20000,0,0.00,0.00,0.00
detr,constant,20000,2,29.73,59.21,0.00
detr,constant,20000,4,43.13,85.90,0.00
detr,constant,20000,8,45.70,91.01,0.00
detr,constant,30000,0,0.00,0.00,0.00
detr,constant,30000,2,85.01,88.06,21.85
detr,constant,30000,4,92.91,96.24,42.97
detr,constant,30000,8,94.00,97.38,46.41
detr,constant,40000,0,0.00,0.00,0.00
detr,constant,40000,2,82.89,86.01,16.04
detr,constant,40000,4,91.33,94.76,33.76
detr,constant,40000,8,92.65,96.13,37.18
detr,constant,50000,0,0.00,0.00,0.00
detr,constant,50000,2,83.27,84.14,14.28
detr,constant,50000,4,92.29,93.26,36.47
detr,constant,50000,8,93.99,94.98,41.24
detr,constant,60000,0,0.00,0.00,0.00
detr,constant,60000,2,80.94,83.63,12.08
detr,constant,60000,4,90.23,93.24,28.56
detr,constant,60000,8,91.76,94.82,31.93
detr,constant,70000,0,0.00,0.00,0.00
detr,constant,70000,2,89.00,89.47,26.03
detr,constant,70000,4,93.79,94.28,39.01
detr,constant,70000,8,95.01,95.50,42.36
detr,constant,80000,0,0.00,0.00,0.00
detr,constant,80000,2,88.91,87.53,23.05
detr,constant,80000,4,95.45,93.97,42.21
detr,constant,80000,8,96.48,94.98,45.70
detr,constant,90000,0,0.00,0.00,0.00
detr,constant,90000,2,90.00,91.28,32.37
detr,constant,90000,4,94.50,95.85,47.05
detr,constant,90000,8,95.40,96.76,50.54
detr,constant,100000,0,0.00,0.00,0.00
detr,constant,100000,2,88.68,89.50,25.49
detr,constant,100000,4,92.91,93.77,36.45
detr,constant,100000,8,94.02,94.88,39.09
detr,constant,110000,0,0.00,0.00,0.00
detr,constant,110000,2,89.56,89.53,28.30
detr,constant,110000,4,93.48,93.44,38.23
detr,constant,110000,8,94.55,94.51,40.87
detr,constant,120000,0,0.00,0.00,0.00
detr,constant,120000,2,89.53,90.33,26.78
detr,constant,120000,4,94.33,95.17,41.33
detr,constant,120000,8,95.10,95.95,43.95
detr,constant,130000,0,0.00,0.00,0.00
detr,constant,130000,2,92.42,93.12,37.52
detr,constant,130000,4,95.05,95.77,46.78
detr,constant,130000,8,95.67,96.39,48.63
detr,constant,140000,0,0.00,0.00,0.00
detr,constant,140000,2,90.92,91.80,32.52
detr,constant,140000,4,93.96,94.86,41.24
detr,constant,140000,8,94.77,95.68,43.26
detr,constant,150000,0,0.00,0.00,0.00
